Id stazione: 200, località: weather two
49.3  221.0
01/01/2000 -> 31/12/2000
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   35.510   23.490    0.000   70.780   30.220    0.458   17.381
   36.500   22.620    0.000   72.680   27.620    0.452   14.288
   34.890   22.000    0.000   87.840   37.330    0.521   18.091
   33.560   22.060    0.000   76.570   34.240    0.509   16.261
   33.590   22.150    0.000   77.880   35.420    0.374   16.254
   35.000   23.190    0.000   62.490   24.270    0.460   16.505
   35.550   24.190    0.000   60.310   24.600    0.469   16.265
   34.700   22.980    0.000   73.640   32.180    0.637   16.405
   32.430   22.180    0.000   70.450   33.380    0.534   16.654
   31.400   20.320    1.690   91.820   43.130    0.599   11.148
   30.760   19.630    2.190   97.500   51.430    0.497   13.365
   29.100   19.350    0.000   68.680   34.890    0.557   18.238
   29.180   19.210    0.000   79.550   39.090    0.536   14.201
   27.640   21.030    0.000   66.170   42.860    0.594   13.029
   28.320   19.750    0.000   75.870   41.480    0.569   16.973
   30.960   18.220    0.000   94.700   40.780    0.405   15.864
   29.100   18.540    0.000   80.330   35.930    0.385   15.764
   29.300   18.490    0.000   82.800   35.440    0.351   15.424
   29.700   18.480    0.000   65.360   24.940    0.341   16.628
   30.440   18.570    0.000   64.120   20.730    0.382   17.225
   31.190   19.160    0.000   77.110   29.840    0.420   15.778
   32.090   20.460    0.000   73.170   29.440    0.510   15.087
   31.990   19.520    0.000   94.420   41.940    0.503   14.513
   31.600   18.900    0.000   97.630   48.260    0.322   18.113
   26.080   17.580    3.550   97.500   56.310    0.342    5.838
   26.290   16.600    0.000   74.490   35.010    1.083   16.990
   28.060   13.830    0.000   96.050   38.480    0.419   17.992
   28.630   15.630    0.000   98.000   48.170    0.326   13.725
   30.800   16.660    0.000  100.000   50.170    0.078   12.757
   30.960   18.520    0.000   94.970   41.630    0.463   14.413
   29.740   19.310    0.000   71.460   31.010    0.457   14.004
   31.300   19.250    0.000   82.670   32.540    0.412   15.144
   32.240   19.440    0.000   59.270   18.080    0.439   15.735
   32.630   19.080    0.000   76.950   23.680    0.292   15.718
   32.530   19.910    0.000   69.560   22.740    0.455   14.004
   32.300   19.930    0.000   65.660   19.900    0.459   13.938
   33.010   20.280    0.000   86.500   33.340    0.575   12.876
   34.110   18.890    0.000   97.900   45.790    0.267   14.756
   32.440   19.000    0.000   92.050   33.980    0.272   15.650
   31.450   20.060    0.000   76.970   30.170    0.499   12.980
   31.390   19.470    0.000   94.840   41.600    0.480    9.986
   27.730   15.660    7.720  100.000   55.800    0.466    8.429
   23.250   11.420    0.000   88.980   34.120    0.470   15.186
   24.950   11.250    0.000   97.300   43.120    0.334   13.463
   26.620   14.790    0.000   98.000   48.530    0.381   11.467
   26.490   16.870    5.690  100.000   61.780    0.293    7.261
   26.420   15.100    0.000   97.500   47.770    0.411   15.296
   26.310   15.950    0.000   97.300   47.170    0.470   11.324
   27.210   17.940    0.000   97.200   47.710    0.424   11.053
