Id station: 100, location: West demo station
45.496782  120.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   27.900   17.300    8.900   97.000   36.300    0.785   15.412
   29.200   14.600   30.500   96.700   36.000    1.085   28.710
   25.700   17.300    2.000   98.000   54.300    0.696   15.461
   27.500   17.800    0.600   91.000   48.300    0.673   18.918
   30.600   15.800    0.000   97.000   31.700    0.890   27.397
   29.200   15.500    0.000   92.000   39.300    0.883   28.687
   29.900   18.000    4.000   94.800   37.800    0.972   26.008
   31.300   16.500    0.000   97.000   33.200    0.935   28.767
   35.000   18.800    0.000   86.200   23.700    1.070   30.270
   30.900   20.400    0.000   78.800   41.700    1.384   29.246
   30.500   21.100    0.000   70.300   37.500    1.227   29.120
   31.200   19.600    0.000   74.000   40.800    0.972   19.883
   32.100   20.000    0.100   79.200   43.000    0.860   23.334
   32.900   22.000    0.000   72.500   29.700    0.995   27.261
   32.000   20.400    0.000   60.200   33.500    1.032   21.914
   32.000   20.400    0.200   75.300   37.300    0.957   16.350
   32.200   20.400    0.000   84.500   37.500    1.189   24.740
   31.400   19.800    0.000   77.700   35.200    1.099   22.970
   31.300   17.800    0.000   89.200   35.300    0.905   24.816
   31.500   16.300    0.000   82.500   30.300    1.174   26.936
   30.700   17.200    0.000   71.700   28.200    1.294   30.558
   31.700   17.800    0.000   84.700   30.300    0.935   29.555
   32.700   19.100    0.000   79.800   31.200    0.823   26.165
   34.100   21.600    0.000   71.500   29.200    1.122   27.389
   32.700   20.800    0.000   66.500   30.200    1.286   25.317
   30.800   18.900    0.000   80.500   29.800    1.301   27.131
   32.000   19.500    0.000   70.200   19.300    1.346   30.552
   32.000   18.800    0.000   76.000   25.000    1.099   28.472
   31.400   20.900    0.000   85.800   37.200    1.077   17.629
   25.600   17.800    7.400   95.000   61.200    0.987    7.628
   31.200   15.600    0.200   97.000   29.500    0.778   24.884
   32.400   18.300    0.000   75.200   33.700    1.002   26.817
   33.700   19.800    0.000   90.000   31.800    1.055   23.752
   31.000   17.800   18.700   91.700   48.200    1.301   13.362
   31.400   15.900    0.000   79.300   25.200    1.144   30.281
   32.100   15.800    0.000   85.500   27.700    1.002   29.019
   32.000   17.900    0.000   86.500   24.200    1.062   27.722
   31.700   20.000    0.000   79.200   40.800    1.032   24.030
   28.500   17.200    0.000   79.500   37.700    1.847   19.104
   25.200   15.800    7.300   87.000   41.700    0.815   16.875
   27.100   17.200    0.000   84.300   44.800    0.793   16.353
   30.000   16.500    0.100   92.200   36.500    0.875   25.889
   33.300   18.800    0.000   79.000   36.500    1.129   23.861
   33.300   19.500    0.000   92.500   36.500    0.785   22.004
   33.800   22.300    0.000   69.800   25.800    1.099   27.802
   34.600   21.200    0.000   70.000   30.700    1.159   28.045
   33.600   20.700    0.000   72.000   36.000    1.017   26.155
   32.600   23.900    0.000   69.700   38.800    1.376   25.029
   32.600   20.700    0.000   77.800   41.000    1.077   25.733
   32.200   23.300    0.800   72.700   44.700    1.197   21.201
   30.600   21.600    0.000   90.800   46.800    1.518   18.137
   29.400   18.400   24.000   94.800   49.300    1.264   13.582
   28.900   20.800    0.700   87.700   58.200    1.152   12.928
   29.200   19.900    0.000   88.000   53.500    1.085   15.069
   32.200   18.500    0.000   91.300   36.800    0.793   25.040
   31.100   20.200    0.000   90.000   46.500    0.935   20.756
   31.800   21.100    0.400   93.700   38.300    1.339   18.226
   27.900   17.200   12.100   96.200   52.700    1.025   11.115
   27.600   16.700    3.500   97.800   45.200    0.800   21.059
   27.500   16.600    0.000   95.000   45.500    0.883   16.595
   24.300   18.700    9.500   91.200   65.200    1.040    6.288
   30.400   15.900    0.200   97.000   29.500    1.301   27.676
   30.800   18.200    0.000   85.800   30.500    0.942   26.988
   28.500   20.000    0.000   82.300   51.300    0.883   13.606
   31.200   19.800    0.000   89.000   37.800    0.748   20.121
   31.600   18.400    0.000   84.800   34.300    0.763   24.896
   32.200   18.700    0.000   91.000   34.500    0.800   24.491
   34.500   18.900    0.000   91.000   34.700    0.740   24.997
   35.300   21.000    0.000   81.000   34.800    0.913   24.529
   35.500   24.000    0.000   77.500   36.200    0.935   23.264
   36.100   22.000    0.000   79.800   34.500    0.800   24.003
   36.300   22.400    0.000   81.800   31.300    0.972   23.766
   33.500   20.100    5.900   92.500   29.800    1.481   21.719
   30.800   19.200    0.000   76.700   24.200    1.286   25.334
   29.100   20.300    0.000   61.700   36.000    1.204   25.206
   29.500   18.800    0.000   70.000   31.800    1.047   21.306
   31.300   20.100    0.000   72.200   32.200    0.845   20.996
   33.200   19.300    0.000   77.800   31.700    0.800   22.647
   32.500   19.700    0.000   83.500   31.800    0.987   19.785
   29.400   18.700    8.400   93.800   42.000    1.481   22.251
   29.100   17.600    0.100   97.000   36.200    0.815   19.646
   28.800   17.800    0.000   79.700   37.200    0.838   19.707
   30.000   16.300    0.000   85.300   32.700    1.040   23.418
   23.300   18.200    0.000   83.700   54.200    1.593   14.070
   26.400   17.000    0.000   75.700   36.200    1.077   21.705
   27.700   12.900    0.000   89.200   31.300    0.965   23.543
   28.600   16.100    0.000   72.800   29.800    1.085   21.566
   28.200   18.000    0.000   77.800   36.500    1.002   19.626
   29.400   15.300    0.000   89.000   34.200    0.785   22.105
   29.100   17.800    0.000   77.500   33.200    1.234   21.843
   28.600   17.900    0.000   70.300   30.800    0.980   20.687
   29.000   16.400    0.000   82.200   33.000    0.838   20.721
   29.500   16.200    0.000   87.200   35.200    0.845   19.845
   29.300   18.800    0.000   74.700   29.700    1.077   19.940
   29.800   17.300    0.000   72.200   28.500    0.935   17.595
   29.200   19.100    0.000   59.000   27.800    0.980   18.174
   29.000   18.100    0.000   65.800   25.300    0.823   17.937
   29.400   18.400    0.000   66.500   29.500    0.711   13.311
   29.800   18.700    0.000   81.800   31.800    0.748   18.338
   30.800   16.300    0.000   86.000   26.200    0.748   19.411
   31.400   15.800    0.000   82.200   28.700    0.748   18.625
   28.300   17.300    0.000   81.700   50.000    0.770   11.196
   28.600   20.500    0.000   80.800   44.500    1.017    8.285
   26.900   17.800   54.300   98.000   60.700    1.099    7.827
   27.700   18.000    0.100   99.000   49.800    0.740   15.228
   27.100   19.400    0.200   89.300   56.300    1.025   15.183
   22.600   14.600   10.600   93.200   58.300    1.773   11.114
   24.100   11.700    9.300   92.800   41.000    0.950   14.399
   24.300   14.800    0.200   95.800   43.200    0.748   15.065
   25.200   13.900    0.000   93.000   44.800    0.755   16.724
   25.000   14.700    0.000   89.200   41.300    0.688   14.469
   26.200   12.700    0.000   96.200   41.700    0.524   17.355
   24.600   16.000    0.000   88.200   56.000    0.539    7.756
   20.000   16.200   27.400   98.000   83.000    0.853    1.760
   24.000   15.800    0.100   98.000   59.300    0.546    9.842
   26.300   15.100    0.000   98.000   52.300    0.591   15.119
   27.100   15.700    0.000   89.200   39.500    0.718   15.491
   24.100   14.100    0.000   96.000   50.000    0.927   14.606
   23.400   13.600    0.000   81.000   45.000    0.838   16.350
   23.300   15.600    0.000   81.700   44.500    0.845   14.875
   18.700   15.900    2.100   94.700   82.200    1.062    3.514
   19.600   17.000   44.600   96.800   85.300    1.286    1.362
   19.600   15.800    1.000   95.000   66.700    1.174    4.839
   16.600    9.900   10.700   97.000   54.800    1.144    6.593
   21.700    7.800    0.000   98.300   36.200    0.613   11.934
   21.200   11.200    0.000   93.000   41.200    0.673   10.009
   18.700   10.600    0.000   81.000   41.700    0.838   12.243
   18.100    8.000    0.000   92.300   42.800    0.740   13.568
   20.500    6.200    0.000   97.500   39.000    0.509   14.547
   18.700    8.400    0.000   94.000   48.800    0.726   12.474
   18.800    7.500    0.000   97.700   47.000    0.808   13.926
   17.800    6.800    0.000   93.000   41.200    0.748   13.711
   17.900    5.500    0.000   97.700   45.700    0.531   13.175
   19.300    6.000    0.100   98.000   45.300    0.501   13.166
   20.000    5.800    0.000   97.800   42.200    0.449   13.406
   19.900    6.900    0.100   98.000   46.800    0.479   12.460
   19.600    8.600    0.000   97.700   53.000    0.426    9.060
   18.900    9.100    0.000   98.000   63.000    0.471    5.239
   15.600   13.000    6.100   98.000   90.500    0.553    1.169
   19.900   10.800    0.000   99.000   61.300    0.524    9.608
   18.500   10.100    0.000   98.000   66.700    0.464    8.065
   17.100    9.500    0.000   98.000   49.500    0.583    8.839
   15.300    6.400    0.000   96.000   44.300    0.509    5.905
   17.000    4.900    0.100   98.000   42.500    0.471   11.047
   19.400    5.700    0.100   98.000   39.500    0.456   11.394
   18.200    5.200    0.000   98.000   48.500    0.419   10.768
   17.600    5.800    0.200   98.000   50.500    0.426    9.231
   13.200    9.600    1.400   97.000   69.700    0.404    2.899
   13.600   10.200    0.400   98.000   78.700    0.441    2.797
   11.300    8.200   37.200   98.000   96.500    0.651    0.275
   13.800    4.900    0.200   99.000   74.800    0.770   10.158
   11.700    7.800   31.500   98.000   86.700    0.838    0.607
   16.600    6.300    6.500   98.000   48.200    0.942   10.589
   15.100    2.900    0.000   99.000   42.800    0.501   10.097
   15.700    2.100    0.000   97.000   37.800    0.456   10.008
   15.200    1.800    0.000   97.000   36.300    0.546    9.532
    9.800    4.400    0.300   97.300   84.500    0.830    1.243
   13.100    4.400    0.000   98.000   59.300    0.531    5.557
   14.400    9.700    0.000   89.800   61.300    0.553    4.713
   16.100    9.000    0.100   97.000   64.500    0.568    4.404
   16.900    7.200    0.100   99.000   60.700    0.494    7.827
   14.800    7.700   18.600   99.000   74.700    0.740    5.375
   11.000   10.100   37.500   99.000   97.000    1.167    0.592
   12.200    9.600    4.000   98.000   92.000    0.778    1.225
   13.600    8.300    2.600   98.300   62.300    0.561    4.874
   13.400    8.400    2.300   97.000   78.500    0.583    3.072
   16.400    7.200    0.200   99.000   68.700    0.613    7.746
   12.700    9.900    0.000   95.800   78.000    0.778    2.304
    9.600    7.000    0.000   96.000   83.300    0.778    2.338
    9.400    6.400    2.000   98.000   82.200    0.920    2.243
   10.100    7.000   12.100   98.000   93.300    0.539    1.350
   14.300    6.400    2.800   98.000   48.000    0.666    6.393
   12.700    3.900    0.100   98.200   56.000    0.479    7.028
    6.900    5.600   11.400   97.000   79.700    0.673    0.722
   11.500    5.800    0.000   97.000   67.300    0.875    7.155
    9.900    5.500    0.000   97.000   77.300    0.770    3.817
    7.500    2.000    0.600   96.000   64.700    1.316    4.725
   10.700   -0.900    0.000   92.200   23.500    1.653    7.846
   11.000    2.400    0.000   49.800   22.000    1.473    7.473
    8.400    2.400    0.500   84.700   53.700    0.905    4.184
    9.800    2.900    0.400   97.000   65.800    0.546    5.433
   11.400    1.100    0.100   99.000   35.200    0.449    6.785
    6.000   -0.400    0.000   90.300   59.300    0.539    2.157
    8.200   -0.100    0.000   96.700   57.200    0.621    6.296
    6.700   -0.800    0.200   98.200   67.500    0.651    6.709
    9.200   -1.900    0.100   98.000   43.300    0.696    6.962
    2.900    0.400   18.900   99.000   78.200    0.913    0.067
    3.200    0.900    2.000   99.000   94.500    0.815    3.072
    2.800   -0.200    5.100   99.000   93.200    0.957    0.617
    7.200   -1.800    0.100   98.000   63.700    0.658    7.042
   10.600   -2.800    0.200   99.000   43.500    0.583    7.009
   12.000   -0.100    0.000   96.000   38.500    0.494    6.149
   10.800   -0.200    0.100   98.000   62.500    0.449    5.351
   10.500   -0.200    0.000   99.000   62.000    0.464    5.657
    7.900   -1.400    0.200   99.000   70.000    0.613    5.887
    9.000   -1.300    0.100   99.000   67.200    0.808    4.880
    4.000   -2.000    0.300   99.000   96.300    0.726    3.973
    9.900   -0.900    0.000   99.300   54.300    0.718    6.206
   12.700    0.700    0.000   97.200   55.700    1.099    6.338
    7.500    1.900    0.000   98.700   74.300    0.434    1.784
    8.800    0.200    0.000   99.000   65.000    0.576    5.264
    5.200    0.700    0.000   99.000   77.200    0.913    2.988
    5.300    4.300    0.000   87.000   74.200    0.591    0.435
    5.700    3.900    1.000   96.300   82.000    0.583    0.870
    6.600   -0.200    0.100   99.000   82.800    0.426    3.060
    6.000    2.900    3.700   99.000   96.500    0.359    0.873
    8.900    4.400    0.000   99.000   84.500    0.643    2.053
    8.200    2.100    0.100   99.500   82.300    0.920    5.067
    7.700    3.400    0.000   99.000   86.000    0.666    3.490
    8.500   -0.100    0.000   99.500   85.700    0.591    4.167
   10.600   -1.400    0.200   99.700   66.800    0.456    6.075
   11.700   -1.000    0.200   99.000   70.800    0.419    5.889
    5.600    1.600    0.100   99.000   96.000    0.740    1.511
    7.500    5.500    6.100   99.000   94.000    0.539    0.632
    8.300    4.300   11.800   99.000   63.700    0.696    1.437
    8.700    1.400    0.000   97.000   67.300    0.726    6.753
    8.000   -1.900    0.200   97.000   48.800    0.755    6.717
    6.400   -2.300    0.000   98.000   61.500    0.755    7.139
