Id station: 137, location: East demo station
45.444092  102.0
01/01/2021 -> 31/12/2022
T_max   T_min   P_tot   U_max   U_min   V_med   RG_CORR
   32.700   15.900    0.000   87.700   39.700    1.197   26.636
   34.800   18.700    6.200   89.000   37.000    1.279   26.567
   32.200   17.300   27.600   90.200   47.800    1.645   17.314
   31.600   14.400    0.000   88.300   28.800    1.459   29.769
   32.700   14.300    0.000   89.500   31.700    1.010   27.931
   32.900   17.600    0.000   85.300   30.700    1.159   28.994
   32.400   17.500    0.000   87.700   43.200    1.152   24.793
   29.300   16.000    0.000   85.500   33.000    2.221   18.471
   25.300   14.300    1.200   89.000   46.300    1.227   23.802
   27.900   16.500    0.000   86.800   45.500    1.144   18.783
   29.900   16.100    6.200   87.500   43.000    1.339   22.696
   31.200   17.000    0.000   90.000   50.000    1.406   20.272
   33.000   17.300    0.000   90.000   41.800    0.898   22.571
   34.600   19.500    0.000   85.000   28.300    1.339   27.140
   35.000   19.500    0.000   84.200   35.800    1.219   26.925
   34.400   18.400    0.000   88.000   40.200    1.144   25.613
   33.400   19.800    0.000   87.000   42.500    1.421   25.414
   33.300   19.300    0.000   88.000   43.000    0.883   24.611
   32.800   21.800    0.000   85.000   47.000    1.369   21.937
   31.900   20.700    0.000   88.000   49.200    1.885   19.022
   29.700   18.700    1.200   87.500   56.300    1.616   16.146
   30.700   19.700    0.000   87.300   53.300    1.616   18.190
   31.000   18.600    0.000   89.000   52.500    1.137   18.231
   34.000   17.400    0.000   86.800   36.700    1.152   25.597
   32.500   18.900    0.000   88.700   46.300    1.159   21.457
   33.300   20.600    0.600   87.500   41.500    1.242   20.177
   29.600   16.400    5.200   89.300   50.800    1.369   17.454
   30.000   15.800    0.000   90.800   38.700    1.070   23.528
   29.900   15.800    0.000   87.800   41.300    1.144   21.596
   25.100   18.800    1.600   86.700   62.700    1.301    8.979
   31.500   15.700    0.800   89.700   30.000    1.683   25.950
   31.900   15.900    0.000   89.000   38.200    0.868   26.425
   30.200   18.500    0.000   86.800   50.300    1.339   16.856
   33.100   18.100    0.000   89.700   38.000    0.920   21.240
   32.900   17.000    0.000   87.000   37.000    0.927   25.687
   33.600   17.100    0.000   89.000   34.200    0.860   23.485
   35.500   17.400    0.000   89.000   33.500    0.838   24.952
   36.300   19.000    0.000   86.300   32.700    1.122   24.489
   37.100   22.200    0.000   86.300   36.500    1.032   23.166
   37.700   20.300    0.000   86.800   32.700    0.853   23.715
   37.600   21.300    0.000   85.500   33.200    1.144   23.465
   35.200   17.000   22.600   99.000   41.500    1.601   22.183
   31.700   15.300    0.000   99.000   30.800    1.212   24.917
   29.800   16.300    0.000   88.000   35.300    1.496   24.658
   30.400   15.900    0.000   87.000   35.800    1.272   21.663
   32.300   18.300    0.000   84.700   32.700    1.174   21.669
   33.700   17.200    0.000   87.000   34.200    1.152   22.456
   33.200   18.600    0.000   85.500   35.000    1.346   20.368
   30.000   18.900    0.000   90.800   43.500    1.870   20.181
   29.800   16.700    0.000   91.000   35.300    1.249   20.813
   29.700   17.000    0.000   84.700   36.200    1.294   21.960
   30.400   15.200    0.000   89.800   36.300    1.526   22.781
   24.000   17.000    0.000   85.300   53.000    2.206   13.198
   27.200   16.100    0.600   87.200   35.500    1.354   21.952
   28.400   12.100    0.000   93.500   31.500    1.249   23.029
   29.000   13.100    0.000   87.500   36.200    1.331   21.280
   28.500   16.300    0.000   85.000   40.800    1.242   20.146
   30.300   14.000    0.000   87.000   31.700    1.197   22.219
   29.400   15.900    0.000   85.000   33.500    1.743   21.558
   29.200   16.300    0.000   82.300   32.500    1.167   20.603
   29.700   16.300    0.000   81.500   34.800    1.219   18.312
   30.500   15.300    0.000   86.200   36.500    1.272   19.971
   30.600   17.200    0.000   80.200   27.000    1.286   19.377
   30.200   15.700    0.000   83.000   26.800    1.354   18.426
   30.000   16.200    0.000   75.800   26.200    1.451   19.173
   29.800   16.000    0.000   78.300   26.700    1.167   17.854
   30.100   15.900    0.000   80.500   31.800    0.942   15.586
   31.200   18.300    0.000   81.700   30.500    1.047   17.994
   31.300   15.700    0.000   85.000   31.300    1.017   18.870
   32.400   14.300    0.000   84.700   28.700    1.114   18.512
   29.400   15.700    0.000   85.800   47.700    1.062   13.815
   29.700   18.300    0.000   89.700   45.300    0.995   11.668
   29.200   18.500   44.600   99.000   49.200    1.406    9.045
   28.400   18.100    0.000   99.200   51.700    1.017   16.858
   27.700   18.600    4.000   92.300   54.700    1.331   12.901
   23.800   13.900    7.400   91.000   61.700    2.835   12.522
   24.600   11.100   14.600   93.500   45.700    1.548   17.286
   25.300   14.500    0.000   94.000   43.800    1.137   16.169
   25.400   13.000    0.000   93.800   45.200    1.144   16.161
   25.200   13.800    0.000   93.000   43.700    0.935   17.017
   27.100   11.500    0.200   95.000   41.200    0.965   17.655
   25.500   14.700    0.000   92.200   56.500    0.980   11.096
   20.500   15.000   20.800   96.000   85.300    1.294    2.910
   24.200   15.200    0.200   98.000   64.000    0.913   10.617
   26.900   14.400    0.000   98.000   54.500    0.935   15.277
   27.900   15.700    0.000   91.700   41.000    1.204   16.404
   25.200   14.600    0.000   92.700   47.800    1.496   14.586
   24.500   11.400    0.000   89.300   44.200    1.346   16.576
   24.100   14.400    0.000   91.000   44.000    1.174   15.770
   18.300   16.000    5.000   94.500   86.800    1.788    6.734
   21.400   17.600   44.600   99.000   79.000    2.513    4.991
   21.400   15.200    6.200   99.000   59.500    1.997    7.608
   15.400    9.800   31.000   98.000   78.300    1.369    7.304
   20.800    8.200    0.200   97.000   58.200    0.808   10.797
   22.000   11.800    0.000   97.000   45.700    0.950    9.493
   19.600   12.200    0.000   89.800   41.500    1.010   12.479
   19.200    7.700    0.000   94.000   42.300    0.823   14.975
   20.500    5.100    0.000   96.000   42.300    0.905   15.206
   18.700    7.400    0.000   94.800   52.700    1.286   12.942
   19.600    6.300    0.000   96.800   48.000    1.197   14.418
   18.000    6.400    0.000   95.300   43.500    1.234   14.689
   18.700    4.200    0.000   97.800   42.000    0.950   14.192
   20.000    4.000    0.000   98.000   42.500    0.942   13.852
   20.400    5.200    0.000   97.700   40.700    0.815   13.881
   20.700    5.000    0.000   98.200   46.000    0.838   13.198
   19.900    7.100    0.000   98.700   54.700    0.808   10.251
   19.000    7.700    0.000   99.000   65.000    0.785    6.812
   15.800   10.700    0.800   99.000   93.500    0.987    2.733
   20.500    9.500    0.200   99.200   65.800    0.763   10.237
   19.400    9.500    0.000   99.000   64.700    0.853    7.418
   17.500    8.100    0.200   99.000   49.200    1.070   10.890
   15.800    6.100    0.000   99.000   47.000    0.883    7.307
   17.500    2.800    0.000   99.000   45.800    0.950   12.059
   19.800    4.200    0.000   99.000   43.200    0.995   12.330
   18.600    3.700    0.000   99.000   47.000    0.883   11.746
   17.800    4.600    0.000   99.000   55.000    0.987   10.538
   14.200    6.800    0.400  100.000   79.700    0.950    4.932
   13.700   10.000    0.000   99.200   93.500    0.898    5.075
   11.300    8.800    1.600   99.000   99.000    1.144    1.683
   13.300    5.400    0.000  100.000   98.800    1.234    9.260
   13.000    7.100   14.200   99.000   99.000    1.623    2.267
   16.200    5.200    8.200   99.000   68.700    1.511   10.626
   15.200    2.300    0.000   99.700   53.000    1.092   10.826
   15.700    0.800    0.000   99.000   41.300    0.957   10.580
   14.500    1.300    0.000   99.000   54.200    1.010    9.176
    9.500    3.800    3.000   99.000   98.200    1.204    2.230
   13.600    2.800    0.000   99.300   69.500    0.733    6.236
   15.000    9.500    0.000   99.000   67.500    0.957    5.624
   15.500    6.900    0.000   99.000   83.300    1.047    4.440
   16.400    5.800    0.000   99.500   82.000    0.815    6.804
   11.900    7.500   16.400   99.000   99.000    0.972    4.853
   11.600   10.600   32.200   99.000   99.000    1.645    1.858
   13.000    9.900    5.400   99.000   98.000    1.010    2.468
   13.700    7.700    4.200   99.000   79.800    0.815    5.573
   13.100    8.500    2.600   99.000   92.000    0.987    3.790
   15.300    7.100    0.000  100.000   92.000    0.898    6.456
   13.200    9.100    0.000   99.000   92.300    1.444    3.251
    9.500    6.700    0.000   99.000   95.500    1.279    3.309
    9.100    6.500    1.600   99.000   99.000    1.242    3.027
   10.400    7.400   11.800   99.000   97.500    0.980    2.720
   15.000    7.500    1.400   99.000   54.000    1.010    6.465
   12.800    2.100    0.000  100.000   62.700    0.942    8.269
    6.000    4.700    9.600   99.000   93.700    1.249    1.822
   11.400    4.800    0.000   99.000   81.700    1.429    7.830
   12.000    6.600   11.000   99.000   83.800    1.376    5.305
    7.100   -0.600    1.200   99.000   89.500    1.272    5.527
    9.200   -2.700    0.000   99.000   32.700    1.907    8.809
   11.300   -0.600    0.000   80.800   29.500    2.438    8.457
    7.500   -1.200    0.400   98.300   52.300    1.451    5.852
    9.200    1.900    0.400   99.000   87.300    0.935    5.600
